scheme_code,scheme_name,aum_cr
152075,360 ONE Balanced Hybrid Fund,419.58
152074,360 ONE Balanced Hyrbrid fund,0.56
122612,360 ONE Dynamic Bond Fund,340.38
151164,360 ONE ELSS Tax Saver Nifty 50 Index Fund,17.66
151799,360 ONE FLEXICAP FUND,1227.41
131579,360 ONE Focused Fund,2886.3
153357,360 ONE Gold ETF,25.31
125342,360 ONE LIQUID FUND,88.98
153772,360 ONE Multi Asset Allocation Fund,51.69
153700,360 ONE Overnight Fund,34.19
149318,360 ONE QUANT FUND DIRECT GROWTH,250.38
149319,360 ONE QUANT FUND DIRECT INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,0.7
149317,360 ONE QUANT FUND REGULAR GROWTH,521.2
149316,360 ONE QUANT FUND REGULAR INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,3.27
153415,360 ONE Silver ETF,21.14
146405,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA,0.73
146407,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA DIRECT GROWTH,58.82
146409,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH,1082.64
146408,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Direct,1.16
152732,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF,44.94
145482,ADITYA BIRLA SUN LIFE OVERNIGHT FUND,14.71
145488,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW,0.57
145489,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW,0.01
145487,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,1.13
145481,ADITYA BIRLA SUNLIFE OVERNIGHT FUND,1721.47
153826,ANGEL ONE GOLD ETF,6.32
153828,ANGEL ONE GOLD ETF FOF,2.68
153827,ANGEL ONE GOLD ETF FOF- DIRECT GROWTH,1.05
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF,227.67
153531,ANGEL ONE NIFTY 50 ETF,12.48
153530,ANGEL ONE NIFTY 50 INDEX FUND,30.44
153529,ANGEL ONE NIFTY 50 INDEX FUND-DIRECT,5.78
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,31.99
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND,33.48
151433,AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund,6.05
112088,Aditya BIRLA SUN LIFE ARBITRAGE FUND,6969.59
132138,Aditya Birla SUn Life Global Emerging Opportunities Fund,191.69
132175,Aditya Birla Sun Life Aggressive Hybrid Omni FOF,33.12
132189,Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Direct,0.04
112087,Aditya Birla Sun Life Arbitrage Fund,60.59
119525,Aditya Birla Sun Life Arbitrage Fund-DIRECT,18.58
153735,Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund,22.0
153736,Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund-Direct Growth,7.49
153737,Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund-Direct IDCW Payout,0.1
153742,Aditya Birla Sun Life BSE 500 Quality 50 Index Fund,22.63
153740,Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Growth,22.92
153741,Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct IDCW Payout,0.04
153080,Aditya Birla Sun Life BSE India Infrastructure Index Fund,22.52
153081,Aditya Birla Sun Life BSE India Infrastructure Index Fund-Direct Growth,9.24
153078,Aditya Birla Sun Life BSE India Infrastructure Index Fund-Direct IDCW Payout,0.32
139581,Aditya Birla Sun Life BSE Sensex ETF,280.1
131666,Aditya Birla Sun Life Balanced Advantage Fund,7024.12
131671,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT,17.23
108272,Aditya Birla Sun Life Banking & PSU Debt Fund,2181.21
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT,3.89
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,11.05
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,0.27
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,0.15
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,0.37
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan,11.36
125596,Aditya Birla Sun Life Banking and Financial Services Fund,3029.45
125598,Aditya Birla Sun Life Banking and Financial Services Fund - DIRECT,8.68
149294,Aditya Birla Sun Life Business Cycle Fund,1685.8
149295,Aditya Birla Sun Life Business Cycle Fund-Direct Growth,77.47
149297,Aditya Birla Sun Life Business Cycle Fund-Direct IDCW Payout,1.32
151428,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 INDEX FUND,46.2
151427,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 INDEX FUND - Direct Growth,112.95
151425,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 INDEX FUND - Direct IDCW Payout,0.01
151533,Aditya Birla Sun Life CRISIL Liquid Overnight ETF,46.39
153127,Aditya Birla Sun Life Conglomerate Fund,1531.12
153124,Aditya Birla Sun Life Conglomerate Fund-Direct Growth,112.01
153125,Aditya Birla Sun Life Conglomerate Fund-Direct IDCW Payout,0.75
132179,Aditya Birla Sun Life Conservative Hybrid Active FOF,11.61
132184,Aditya Birla Sun Life Conservative Hybrid Active FOF-Direct,0.05
103110,Aditya Birla Sun Life Consumption Fund,5562.96
119590,Aditya Birla Sun Life Consumption Fund -DIRECT,10.48
103178,Aditya Birla Sun Life Corporate Bond Fund,7334.81
124832,Aditya Birla Sun Life Corporate Bond Fund -DIRECT,18.86
119532,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,3.16
134386,Aditya Birla Sun Life Credit Risk Fund,735.39
134385,Aditya Birla Sun Life Credit Risk Fund - Direct,2.04
152802,Aditya Birla Sun Life Crisil 10 Year Gilt ETF,68.48
150704,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL APR 2028 Index Fund-Direct IDCW,0.01
150703,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund,201.07
150702,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Direct Growth,168.44
150938,Aditya Birla Sun Life Crisil IBX 60:40 SDL + AAA PSU APR 2026 Index Fund-Direct Growth,25.06
150939,Aditya Birla Sun Life Crisil IBX 60:40 SDL+ AAA PSU APR 2026 Index Fund-Direct IDCW Payout,0.01
150936,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU APR 2026 Index Fund,22.48
150351,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund,316.22
150353,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Direct Growth,1233.2
150352,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Direct IDCW,0.05
151583,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund,13.05
151577,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund-Direct Growth,9.63
152268,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund,27.67
152267,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Direct Growth,48.07
152270,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Direct IDCW Payout,0.01
152660,Aditya Birla Sun Life Crisil IBX Gilt June 2027 Index Fund,2.87
152659,Aditya Birla Sun Life Crisil IBX Gilt June 2027 Index Fund-Direct Growth,8.69
150699,Aditya Birla Sun Life Crisil IBX Gilt- April 2026 Index Fund-Direct IDCW,0.07
150777,Aditya Birla Sun Life Crisil IBX Gilt-Apr 2029 Index Fund,261.93
150780,Aditya Birla Sun Life Crisil IBX Gilt-Apr 2029 Index Fund-Direct IDCW,13.81
150778,Aditya Birla Sun Life Crisil IBX Gilt-Apr-2029 Index Fund-Direct Growth,342.19
150701,Aditya Birla Sun Life Crisil IBX Gilt-April 2026 Index Fund,98.75
150698,Aditya Birla Sun Life Crisil IBX Gilt-April 2026 Index Fund-Direct Growth,129.66
152662,Aditya Birla Sun Life Crisil Ibx Gilt June 2027 Index Fund-Direct IDCW Payout,0.06
153033,Aditya Birla Sun Life Crisil-IBX AAA Financial Services Index-Sep 2027 Fund,3.5
153030,Aditya Birla Sun Life Crisil-IBX AAA Financial Services Index-Sep 2027 Fund-Direct Growth,74.57
153031,Aditya Birla Sun Life Crisil-IBX AAA Financial Services Index-Sep 2027 Fund-Direct IDCW Payout,0.01
152959,Aditya Birla Sun Life Crisil-IBX AAA NBFC--HFC Index-Dec 2025 Fund-Direct IDCW Payout,0.02
152948,Aditya Birla Sun Life Crisil-IBX AAA NBFC-HFC INDEX-Sep 2026 Fund-Direct IDCW Payout,0.07
